These are responses from NicoAPI about getting comments.
Following responses are those in case of various "version" value. by Seo-4d696b75
start at 2017-07-03T18:11:01
date:20070120 > fail
date:20070118 > fail
date:20070121 > fail
date:20070119 > fail
date:20070117 > fail
date:20070122 > fail
date:20070116 > fail
date:20070124 > fail
date:20070126 > fail
date:20070125 > fail
date:20070127 > fail
date:20070131 > fail
date:20070123 > fail
date:20070129 > fail
date:20070202 > fail
date:20070130 > fail
date:20070201 > fail
date:20070128 > fail
date:20070206 > fail
date:20070207 > fail
date:20070209 > fail
date:20070204 > fail
date:20070203 > fail
date:20060823 > fail
date:20070205 > fail
date:20070211 > fail
date:20070215 > fail
date:20070214 > fail
date:20070213 > fail
date:20070208 > fail
date:20070220 > fail
date:20070219 > fail
date:20070217 > fail
date:20070216 > fail
date:20070218 > fail
date:20070228 > fail
date:20070225 > fail
date:20070227 > fail
date:20070303 > fail
date:20070302 > fail
date:20070306 > fail
date:20070305 > fail
date:20070309 > fail
date:20070308 > fail
date:20070310 > fail
date:20070312 > fail
date:20070311 > fail
date:20070313 > fail
date:20070314 > fail
date:20070317 > fail
date:20070316 > fail
date:20070315 > fail
date:20070318 > fail
date:20070210 > fail
date:20070321 > fail
date:20070319 > fail
date:20070320 > fail
date:20070322 > fail
date:20061008 > fail
date:20070323 > fail
date:20070324 > fail
date:20070327 > fail
date:20070325 > fail
date:20070326 > fail
date:20070328 > fail
date:20070331 > fail
date:20070330 > fail
date:20070329 > fail
date:20070222 > fail
date:20070403 > fail
date:20070402 > fail
date:20070401 > fail
date:20060922 > fail
date:20070404 > fail
date:20070407 > fail
date:20070405 > fail
date:20070406 > fail
date:20070307 > fail
date:20070304 > fail
date:20070408 > fail
date:20070212 > fail
date:20070411 > fail
date:20070409 > fail
date:20070410 > fail
date:20070412 > fail
date:20070226 > fail
date:20070221 > fail
date:20070223 > fail
date:20070416 > fail
date:20070413 > fail
date:20070414 > fail
date:20070415 > fail
date:20070419 > fail
date:20070420 > fail
date:20070417 > fail
date:20070418 > fail
date:20070429 > fail
date:20070501 > fail
date:20070503 > fail
date:20070505 > fail
date:20070430 > fail
date:20070504 > fail
date:20070502 > fail
date:20070509 > fail
date:20070507 > fail
date:20060818 > fail
date:20070508 > fail
date:20070506 > fail
date:20070510 > fail
date:20070516 > fail
date:20070513 > fail
date:20070514 > fail
date:20070512 > fail
date:20070519 > fail
date:20070521 > fail
date:20070520 > fail
date:20070518 > fail
date:20070515 > fail
date:20070522 > fail
date:20070517 > fail
date:20070523 > fail
date:20070423 > fail
date:20070525 > fail
date:20070524 > fail
date:20070526 > fail
date:20070426 > fail
date:20070527 > fail
date:20060908 > fail
date:20070530 > fail
date:20070528 > fail
date:20070531 > fail
date:20070529 > fail
date:20070603 > fail
date:20070601 > fail
date:20070604 > fail
date:20070421 > fail
date:20070607 > fail
date:20070424 > fail
date:20070608 > fail
date:20070301 > fail
date:20070605 > fail
date:20070613 > fail
date:20070610 > fail
date:20070611 > fail
date:20070609 > fail
date:20070614 > fail
date:20070612 > fail
date:20070606 > fail
date:20070619 > fail
date:20070616 > fail
date:20070615 > fail
date:20070617 > fail
date:20070618 > fail
date:20070622 > fail
date:20070628 > fail
date:20070624 > fail
date:20070627 > fail
date:20070630 > fail
date:20070702 > fail
date:20070705 > fail
date:20070701 > fail
date:20070703 > fail
date:20070625 > fail
date:20070626 > fail
date:20070623 > fail
date:20070704 > fail
date:20070706 > fail
date:20070224 > fail
date:20070709 > fail
date:20070707 > fail
date:20070708 > fail
date:20070713 > fail
date:20070712 > fail
date:20070710 > fail
date:20070715 > fail
date:20070620 > fail
date:20070714 > fail
date:20070716 > fail
date:20070717 > fail
date:20070720 > fail
date:20070711 > fail
date:20070718 > fail
date:20070719 > fail
date:20070722 > fail
date:20070723 > fail
date:20070726 > fail
date:20070724 > fail
date:20070725 > fail
date:20070727 > fail
date:20070728 > fail
date:20070731 > fail
date:20070729 > fail
date:20070802 > fail
date:20070803 > fail
date:20070801 > fail
date:20070804 > fail
date:20070730 > fail
date:20070805 > fail
date:20070806 > fail
date:20070629 > fail
date:20070811 > fail
date:20070807 > fail
date:20070809 > fail
date:20070808 > fail
date:20070815 > fail
date:20070816 > fail
date:20070817 > fail
date:20070813 > fail
date:20070810 > fail
date:20070814 > fail
date:20070818 > fail
date:20070812 > fail
date:20070819 > fail
date:20070820 > fail
date:20070821 > fail
date:20070823 > fail
date:20070621 > fail
date:20060130 > fail
date:20060103 > fail
date:20060213 > fail
date:20060118 > fail
date:20060131 > fail
date:20060117 > fail
date:20060110 > fail
date:20060216 > fail
date:20060113 > fail
date:20070828 > fail
date:20060104 > fail
date:20070826 > fail
date:20060106 > fail
date:20060122 > fail
date:20070827 > fail
date:20070829 > fail
date:20070901 > fail
date:20070831 > fail
date:20060217 > fail
date:20070830 > fail
date:20070905 > fail
date:20070906 > fail
date:20070902 > fail
date:20070904 > fail
date:20070907 > fail
date:20070908 > fail
date:20070909 > fail
date:20070911 > fail
date:20070916 > fail
date:20070914 > fail
date:20070915 > fail
date:20070910 > fail
date:20070912 > fail
date:20070913 > fail
date:20070917 > fail
date:20070920 > fail
date:20070918 > fail
date:20070925 > fail
date:20070923 > fail
date:20070922 > fail
date:20070921 > fail
date:20070919 > fail
date:20070927 > fail
date:20070926 > fail
date:20070928 > fail
date:20070721 > fail
date:20071002 > fail
date:20070930 > fail
date:20071001 > fail
date:20070924 > fail
date:20070929 > fail
date:20071010 > fail
date:20071009 > fail
date:20071008 > fail
date:20071011 > fail
date:20071006 > fail
date:20071007 > fail
date:20071005 > fail
date:20071016 > fail
date:20071015 > fail
date:20071018 > fail
date:20071021 > fail
date:20071017 > fail
date:20071013 > fail
date:20071019 > fail
date:20071020 > fail
date:20071014 > fail
date:20071027 > fail
date:20071028 > fail
date:20071022 > fail
date:20071026 > fail
date:20060121 > fail
date:20071023 > fail
date:20071024 > fail
date:20071025 > fail
date:20071029 > fail
date:20071103 > fail
date:20071030 > fail
date:20060129 > fail
date:20071031 > fail
date:20071106 > fail
date:20060207 > fail
date:20071104 > fail
date:20060401 > fail
date:20071102 > fail
date:20071105 > fail
date:20071109 > fail
date:20071108 > fail
date:20071107 > fail
date:20071111 > fail
date:20071112 > fail
date:20071113 > fail
date:20071110 > fail
date:20070422 > fail
date:20071115 > fail
date:20071125 > fail
date:20071126 > fail
date:20070822 > fail
date:20071114 > fail
date:20071119 > fail
date:20070824 > fail
date:20070825 > fail
date:20071123 > fail
date:20071124 > fail
date:20071118 > fail
date:20071121 > fail
date:20071116 > fail
date:20071120 > fail
date:20071117 > fail
date:20071129 > fail
date:20071122 > fail
date:20071201 > fail
date:20071130 > fail
date:20071128 > fail
date:20071127 > fail
date:20071202 > fail
date:20071204 > fail
date:20060420 > fail
date:20060419 > fail
date:20071203 > fail
date:20071205 > fail
date:20071208 > fail
date:20071206 > fail
date:20071210 > fail
date:20071207 > fail
date:20071209 > fail
date:20071012 > fail
date:20071216 > fail
date:20071219 > fail
date:20071213 > fail
date:20071218 > fail
date:20071217 > fail
date:20071215 > fail
date:20071224 > fail
date:20071214 > fail
date:20071221 > fail
date:20071212 > fail
date:20071223 > fail
date:20071225 > fail
date:20071222 > fail
date:20071220 > fail
date:20071229 > fail
date:20071227 > fail
date:20080103 > fail
date:20080101 > fail
date:20071228 > fail
date:20071211 > fail
date:20071230 > fail
date:20080102 > fail
date:20071226 > fail
date:20071231 > fail
date:20080106 > fail
date:20080104 > fail
date:20060511 > fail
date:20080105 > fail
date:20080112 > fail
date:20080110 > fail
date:20080108 > fail
date:20080111 > fail
date:20080107 > fail
date:20080109 > fail
date:20080118 > fail
date:20080117 > fail
date:20080114 > fail
date:20080113 > fail
date:20080116 > fail
date:20071101 > fail
date:20080115 > fail
date:20080122 > fail
date:20080119 > fail
date:20080126 > fail
date:20080121 > fail
date:20080202 > fail
date:20080130 > fail
date:20080203 > fail
date:20080129 > fail
date:20080206 > fail
date:20080205 > fail
date:20080208 > fail
date:20080131 > fail
date:20080209 > fail
date:20080212 > fail
date:20080215 > fail
date:20080213 > fail
date:20080214 > fail
date:20080216 > fail
date:20080218 > fail
date:20080217 > fail
date:20080220 > fail
date:20080224 > fail
date:20080222 > fail
date:20080223 > fail
date:20080226 > fail
date:20080225 > fail
date:20080219 > fail
date:20080221 > fail
date:20080302 > fail
date:20080123 > fail
date:20080228 > fail
date:20080227 > fail
date:20080207 > fail
date:20080304 > fail
date:20080229 > fail
date:20080305 > fail
date:20080301 > fail
date:20080308 > fail
date:20080310 > fail
date:20080309 > fail
date:20080306 > fail
date:20080311 > fail
date:20080210 > fail
date:20080211 > fail
date:20080313 > fail
date:20080201 > fail
date:20080125 > fail
date:20080312 > fail
date:20080318 > fail
date:20060624 > fail
date:20080204 > fail
date:20080124 > fail
date:20080317 > fail
date:20080128 > fail
date:20080303 > fail
date:20080314 > fail
date:20080319 > fail
date:20080316 > fail
date:20080120 > fail
date:20080127 > fail
date:20080307 > fail
date:20080320 > fail
date:20080315 > fail
date:20060622 > fail
date:20080321 > fail
date:20080330 > fail
date:20080327 > fail
date:20080403 > fail
date:20080326 > fail
date:20080328 > fail
date:20080401 > fail
date:20080324 > fail
date:20080402 > fail
date:20080325 > fail
date:20080322 > fail
date:20080323 > fail
date:20080331 > fail
date:20080329 > fail
date:20080405 > fail
date:20080407 > fail
date:20080408 > fail
date:20080410 > fail
date:20080404 > fail
date:20080409 > fail
date:20080406 > fail
date:20080418 > fail
date:20080415 > fail
date:20080413 > fail
date:20080420 > fail
date:20080422 > fail
date:20080414 > fail
date:20060119 > fail
date:20080419 > fail
date:20080416 > fail
date:20080411 > fail
date:20080426 > fail
date:20080421 > fail
date:20080427 > fail
date:20080423 > fail
date:20080412 > fail
date:20080425 > fail
date:20080417 > fail
date:20080424 > fail
date:20080509 > fail
date:20080508 > fail
date:20080507 > fail
date:20080506 > fail
date:20080504 > fail
date:20080428 > fail
date:20080505 > fail
date:20080510 > fail
date:20080429 > fail
date:20080516 > fail
date:20080518 > fail
date:20080513 > fail
date:20080503 > fail
date:20080514 > fail
date:20080515 > fail
date:20080517 > fail
date:20080511 > fail
date:20080430 > fail
date:20080519 > fail
date:20080502 > fail
date:20080501 > fail
date:20080512 > fail
date:20080520 > fail
date:20080521 > fail
date:20080522 > fail
date:20080525 > fail
date:20080523 > fail
date:20080527 > fail
date:20080524 > fail
date:20080526 > fail
date:20080602 > fail
date:20080604 > fail
date:20080529 > fail
date:20080530 > fail
date:20080601 > fail
date:20080531 > fail
date:20080528 > fail
date:20080603 > fail
date:20080609 > fail
date:20080606 > fail
date:20080610 > fail
date:20080612 > fail
date:20060803 > fail
date:20080605 > fail
date:20080611 > fail
date:20080607 > fail
date:20080608 > fail
date:20060806 > fail
date:20080618 > fail
date:20080616 > fail
date:20080622 > fail
date:20080621 > fail
date:20080619 > fail
date:20080620 > fail
date:20080615 > fail
date:20080623 > fail
date:20080626 > fail
date:20080624 > fail
date:20080613 > fail
date:20080701 > fail
date:20080704 > fail
date:20080629 > fail
date:20080703 > fail
date:20080630 > fail
date:20080628 > fail
date:20080707 > fail
date:20080708 > fail
date:20080705 > fail
date:20080709 > fail
date:20080706 > fail
date:20080710 > fail
date:20080713 > fail
date:20080714 > fail
date:20080715 > fail
date:20080718 > fail
date:20080719 > fail
date:20080720 > fail
date:20080723 > fail
date:20080721 > fail
date:20080716 > fail
date:20080722 > fail
date:20080717 > fail
date:20080801 > fail
date:20080726 > fail
date:20080614 > fail
date:20080725 > fail
date:20080727 > fail
date:20080802 > fail
date:20080731 > fail
date:20080730 > fail
date:20080702 > fail
date:20080728 > fail
date:20080711 > fail
date:20080712 > fail
date:20080625 > fail
date:20080617 > fail
date:20080724 > fail
date:20080803 > fail
date:20080805 > fail
date:20080808 > fail
date:20080814 > fail
date:20080810 > fail
date:20080813 > fail
date:20080806 > fail
date:20080809 > fail
date:20080804 > fail
date:20080812 > fail
date:20080818 > fail
date:20080811 > fail
date:20080817 > fail
date:20080816 > fail
date:20080807 > fail
date:20080815 > fail
date:20080821 > fail
date:20080826 > fail
date:20080822 > fail
date:20080827 > fail
date:20080830 > fail
date:20080819 > fail
date:20080825 > fail
date:20080906 > fail
date:20080910 > fail
date:20080909 > fail
date:20080904 > fail
date:20080908 > fail
date:20080912 > fail
date:20080903 > fail
date:20080820 > fail
date:20080907 > fail
date:20080919 > fail
date:20080914 > fail
date:20080916 > fail
date:20080831 > fail
date:20080917 > fail
date:20080922 > fail
date:20080921 > fail
date:20080905 > fail
date:20080902 > fail
date:20080824 > fail
date:20080823 > fail
date:20080901 > fail
date:20080920 > fail
date:20080928 > fail
date:20080927 > fail
date:20080923 > fail
date:20080913 > fail
date:20080925 > fail
date:20080915 > fail
date:20080911 > fail
date:20081001 > fail
date:20080929 > fail
date:20080926 > fail
date:20080918 > fail
date:20080924 > fail
date:20080930 > fail
date:20081002 > fail
date:20081006 > fail
date:20081005 > fail
date:20081010 > fail
date:20081009 > fail
date:20081007 > fail
date:20081018 > fail
date:20081017 > fail
date:20081019 > fail
date:20081013 > fail
date:20081024 > fail
date:20081023 > fail
date:20081014 > fail
date:20081021 > fail
date:20081015 > fail
date:20081016 > fail
date:20080627 > fail
date:20081101 > fail
date:20081025 > fail
date:20081105 > fail
date:20081106 > fail
date:20081031 > fail
date:20080729 > fail
date:20081103 > fail
date:20081102 > fail
date:20081112 > fail
date:20081108 > fail
date:20081030 > fail
date:20081109 > fail
date:20081028 > fail
date:20081027 > fail
date:20081111 > fail
date:20081107 > fail
date:20081113 > fail
date:20081029 > fail
date:20081104 > fail
date:20081110 > fail
date:20081012 > fail
date:20081020 > fail
date:20081114 > fail
date:20081022 > fail
date:20081026 > fail
date:20081123 > fail
date:20081118 > fail
date:20081115 > fail
date:20081120 > fail
date:20081117 > fail
date:20081122 > fail
date:20081121 > fail
date:20081125 > fail
date:20081201 > fail
date:20081128 > fail
date:20081202 > fail
date:20081205 > fail
date:20081207 > fail
date:20081126 > fail
date:20081130 > fail
date:20081210 > fail
date:20081209 > fail
date:20081129 > fail
date:20081217 > fail
date:20081213 > fail
date:20081212 > fail
date:20081218 > fail
date:20081215 > fail
date:20081223 > fail
date:20081211 > fail
date:20081222 > fail
date:20081224 > fail
date:20081220 > fail
date:20081216 > fail
date:20081214 > fail
date:20081225 > fail
date:20081221 > fail
date:20081219 > fail
date:20081227 > fail
date:20081228 > fail
date:20081226 > fail
date:20081231 > fail
date:20090102 > fail
date:20090105 > fail
date:20090103 > fail
date:20081229 > fail
date:20081230 > fail
date:20090101 > fail
date:20090104 > fail
date:20090110 > fail
date:20090109 > fail
date:20090107 > fail
date:20090108 > fail
date:20090112 > fail
date:20090119 > fail
date:20090113 > fail
date:20090111 > fail
date:20090125 > fail
date:20090123 > fail
date:20090121 > fail
date:20090118 > fail
date:20090116 > fail
date:20081011 > fail
date:20090127 > fail
date:20090128 > fail
date:20090124 > fail
date:20090126 > fail
date:20090130 > fail
date:20090202 > fail
date:20090201 > fail
date:20090204 > fail
date:20090203 > fail
date:20090206 > fail
date:20090208 > fail
date:20090207 > fail
date:20090205 > fail
date:20090214 > fail
date:20081119 > fail
date:20090209 > fail
date:20081116 > fail
date:20090212 > fail
date:20090213 > fail
date:20090210 > fail
date:20090211 > fail
date:20090216 > fail
date:20090218 > fail
date:20090223 > fail
date:20090215 > fail
date:20090220 > fail
date:20090217 > fail
date:20090222 > fail
date:20081127 > fail
date:20081124 > fail
date:20090221 > fail
date:20090219 > fail
date:20090225 > fail
date:20090226 > fail
date:20090224 > fail
date:20090106 > fail
date:20090228 > fail
date:20090304 > fail
date:20090301 > fail
date:20090305 > fail
date:20090302 > fail
date:20090303 > fail
date:20081204 > fail
date:20081203 > fail
date:20081206 > fail
date:20090306 > fail
date:20090115 > fail
date:20090317 > fail
date:20090311 > fail
date:20090316 > fail
date:20090314 > fail
date:20090318 > fail
date:20090312 > fail
date:20090309 > fail
date:20090313 > fail
date:20090315 > fail
date:20090122 > fail
date:20090310 > fail
date:20090320 > fail
date:20090120 > fail
date:20090319 > fail
date:20090117 > fail
date:20090321 > fail
date:20090322 > fail
date:20090324 > fail
date:20090327 > fail
date:20090326 > fail
date:20090323 > fail
date:20090325 > fail
date:20090114 > fail
date:20090401 > fail
date:20090329 > fail
date:20090331 > fail
date:20090402 > fail
date:20090330 > fail
date:20090411 > fail
date:20090328 > fail
date:20061229 > fail
date:20090408 > fail
date:20090413 > fail
date:20090407 > fail
date:20090412 > fail
date:20090409 > fail
date:20090410 > fail
date:20090406 > fail
date:20090403 > fail
date:20090404 > fail
date:20090405 > fail
date:20090417 > fail
date:20090418 > fail
date:20090414 > fail
date:20090416 > fail
date:20090415 > fail
date:20090425 > fail
date:20070102 > fail
date:20090422 > fail
date:20090424 > fail
date:20090420 > fail
date:20090421 > fail
date:20090419 > fail
date:20090423 > fail
date:20090501 > fail
date:20090502 > fail
date:20090426 > fail
date:20090427 > fail
date:20090430 > fail
date:20090429 > fail
date:20090428 > fail
date:20090504 > fail
date:20090507 > fail
date:20090509 > fail
date:20090506 > fail
date:20090511 > fail
date:20090503 > fail
date:20090505 > fail
date:20090510 > fail
date:20090508 > fail
date:20090513 > fail
date:20090512 > fail
date:20090524 > fail
date:20090523 > fail
date:20090520 > fail
date:20090521 > fail
date:20090515 > fail
date:20090516 > fail
date:20090522 > fail
date:20090514 > fail
date:20090518 > fail
date:20090526 > fail
date:20090601 > fail
date:20090519 > fail
date:20090525 > fail
date:20090529 > fail
date:20090602 > fail
date:20090527 > fail
date:20090528 > fail
date:20090530 > fail
date:20090604 > fail
date:20090603 > fail
date:20090531 > fail
date:20090605 > fail
date:20090609 > fail
date:20090611 > fail
date:20090606 > fail
date:20090607 > fail
date:20090608 > fail
date:20090612 > fail
date:20090610 > fail
date:20090613 > fail
date:20090616 > fail
date:20090623 > fail
date:20090621 > fail
date:20090619 > fail
date:20090620 > fail
date:20090622 > fail
date:20090615 > fail
date:20090618 > fail
date:20090614 > fail
date:20090617 > fail
date:20090626 > fail
date:20090625 > fail
date:20090624 > fail
date:20090627 > fail
date:20090629 > fail
date:20090630 > fail
date:20090628 > fail
date:20090701 > fail
date:20090704 > fail
date:20090702 > fail
date:20090703 > fail
date:20090709 > fail
date:20090706 > fail
date:20090712 > fail
date:20090707 > fail
date:20090716 > fail
date:20090705 > fail
date:20090714 > fail
date:20090711 > fail
